level	session	dois
2	5	10.1017/S0960129516000414, 10.5220/0006859903460353, 10.5220/0006914405130520, 10.1016/j.bspc.2016.09.011, 10.1007/978-3-319-70742-6_14, 10.1007/978-3-319-68560-1_56, 10.5220/0006477801860195, 10.1017/S0960129514000632, 10.5220/0006043400150021, 10.1080/21681163.2015.1049844, 10.1016/j.scico.2015.01.005, 10.1007/978-3-319-23165-5_6, 10.4204/EPTCS.131.2, 10.4204/EPTCS.64.5, 10.1109/CDC.2010.5717916, 10.1007/978-3-642-16324-1_27, 10.1016/j.apal.2008.04.002, 10.1007/11874683_21, 10.1109/ROBOT.1996.509190
1	4	10.1142/S021962201850030X, 10.1016/j.ins.2018.08.002, 10.1007/978-3-030-00063-9_20, 10.1007/978-3-319-61893-7_20, 10.1007/978-3-030-00063-9, 10.1007/s00607-016-0505-x, 10.1016/j.eswa.2017.08.017, 10.1007/978-3-319-67162-8_13, 10.1007/978-3-319-67162-8_22, 10.1145/3102254.3102288, 10.1016/j.eswa.2016.02.005, 10.1145/2968219.2971458, 10.1109/ICDEW.2016.7495617, 10.1109/IISA.2016.7785334, 10.1109/MIPRO.2016.7522370, 10.1109/SMARTCOMP.2016.7501707, 10.1016/j.ins.2014.08.073, 10.1016/j.ins.2015.06.006, 10.1016/j.knosys.2015.04.023, 10.1145/2700479, 10.1109/BigDataCongress.2015.85, 10.1109/CBMS.2015.60, 10.1109/ICDEW.2015.7129559, 10.1109/ICHI.2014.14, 10.1109/ISPA.2014.36, 10.1109/UCC.2014.72, 10.1007/978-3-319-01863-8, 10.1016/j.eswa.2013.02.006, 10.1145/2508037.2508051, 10.1007/978-3-319-01863-8_1, 10.1109/BIBE.2013.6701681, 10.1109/ICDEW.2013.6547461, 10.1007/978-3-642-41366-7_2, 10.1109/TrustCom.2013.153, 10.1007/978-3-642-23863-5_53, 10.1002/int.20404, 10.1109/CBMS.2010.6042610, 10.1109/IS.2010.5548388, 10.1007/978-3-642-15393-8_47, 10.1145/1774088.1774309, 10.1109/TKDE.2008.180, 10.1016/j.camwa.2006.12.086, 10.1109/TKDE.2007.190677, 10.1007/978-3-540-78488-3_1, 10.1109/ICDE.2005.80, 10.1145/1042046.1042048, 10.1145/967900.968016, 10.1109/MDT.2002.1003804, 10.1109/24.994929, 10.1109/OLT.2002.1030179, 10.1109/54.953276, 10.1109/40.958696, 10.1109/DATE.2001.915017, 10.1109/TEST.2001.966640, 10.1023/A:1008326928340, 10.1109/DATE.2000.840286, 10.1109/DFTVS.2000.887161, 10.1109/DFTVS.2000.887179, 10.1109/ICDSN.2000.857517, 10.1109/ICCD.2000.878335, 10.1109/OLT.2000.856605, 10.1109/OLT.2000.856639, 10.1109/TEST.2000.894204, 10.1109/TEST.2000.894259, 10.1109/TEST.2000.894300, 10.1023/A:1008322011010, 10.1109/DATE.1999.761175, 10.1109/TEST.1999.805612, 10.1109/TEST.1999.805832, 10.1109/TEST.1999.805837, 10.1109/VTEST.1999.766685, 10.1109/ATS.1998.741660, 10.1109/DFTVS.1998.732177, 10.1109/ATS.1997.643912, 10.1109/EDTC.1997.582394, 10.1109/VTEST.1997.599442
1	5	10.1007/s00453-017-0381-6, 10.1093/comjnl/bxx108, 10.1142/S0129054118400014, 10.1016/j.jda.2018.09.002, 10.4230/LIPIcs.CPM.2018.7, 10.1109/DCC.2018.00031, 10.1109/DCC.2018.00039, 10.4230/LIPIcs.ISAAC.2018.68, 10.1007/978-3-319-77404-6_36, 10.1007/978-3-319-89929-9_7, 10.1137/1.9781611975031.96, 10.4230/LIPIcs.WABI.2018.2, 10.1007/978-3-030-00479-8, 10.1093/bioinformatics/btx067, 10.1007/s10791-017-9297-7, 10.1016/j.jda.2016.11.003, 10.1016/j.jda.2017.04.002, 10.1007/s11786-016-0283-z, 10.1007/s11786-016-0286-9, 10.1016/j.tcs.2017.04.019, 10.1016/j.tcs.2017.06.016, 10.1007/978-3-319-58741-7_17, 10.4230/LIPIcs.CPM.2017.5, 10.4230/LIPIcs.CPM.2017.19, 10.1109/DCC.2017.35, 10.1109/DCC.2017.9, 10.4230/LIPIcs.ESA.2017.38, 10.1007/978-3-319-67428-5_5, 10.1007/978-3-319-67428-5_10, 10.1007/978-3-319-62127-2_33, 10.1007/978-3-662-49529-2_13, 10.1007/978-3-319-46049-9_1, 10.1007/978-3-319-46049-9_5, 10.1007/978-3-319-46049-9_14, 10.1007/978-3-319-46049-9_16, 10.1007/978-3-319-46049-9_24, 10.1007/978-1-4939-2864-4_108, 10.1007/978-1-4939-2864-4_638, 10.1007/s00453-014-9957-6, 10.1016/j.jda.2014.10.003, 10.1109/TCBB.2015.2418753, 10.1109/TIT.2015.2452252, 10.1007/978-3-319-19929-0_3, 10.1109/DCC.2015.69, 10.1109/DCC.2015.57, 10.1109/DCC.2015.55, 10.1109/DCC.2015.70, 10.1007/978-3-319-21500-6_6, 10.1007/978-3-662-48350-3_45, 10.1007/978-3-319-23826-5_15, 10.1007/s00453-012-9726-3, 10.1016/j.comgeo.2013.08.002, 10.1016/j.jda.2014.08.001, 10.1007/978-3-319-07566-2_12, 10.1109/DCC.2014.42, 10.1007/978-3-642-54423-1_63, 10.1007/978-3-319-11918-2_2, 10.1007/978-3-319-11918-2_6, 10.1016/j.ejc.2012.07.016, 10.1016/j.tcs.2012.08.004, 10.1007/978-3-642-36899-8_12, 10.1007/978-3-642-38905-4_11, 10.1007/978-3-642-38905-4_12, 10.1007/978-3-642-40450-4_44, 10.1007/978-3-319-02432-5_10, 10.1007/978-3-642-40104-6_11, 10.1007/s00453-011-9535-0, 10.3390/a5010050, 10.1016/j.ipl.2012.06.017, 10.1016/j.jda.2011.08.001, 10.1016/j.tcs.2011.12.002, 10.1007/978-3-642-28332-1_21, 10.1007/978-3-642-29344-3_28, 10.1007/978-3-642-29344-3_34, 10.1016/j.dam.2010.05.016, 10.1016/j.jda.2011.01.003, 10.1007/978-3-642-21458-5_18, 10.1007/978-3-642-25591-5_67, 10.1007/978-3-642-24583-1_29, 10.1016/j.tcs.2010.04.024, 10.1007/978-3-642-13122-6_13, 10.1007/978-3-642-17514-5_27, 10.1007/978-3-642-17514-5_28, 10.1007/978-3-642-13089-2_23, 10.1007/978-3-642-12200-2_60, 10.1007/978-3-642-11266-9_35, 10.1007/978-3-642-16321-0_7, 10.3233/FI-2009-204, 10.1016/j.tcs.2008.11.003, 10.1007/978-3-642-02441-2_7, 10.1109/DCC.2009.61, 10.1007/978-3-642-10217-2_28, 10.1007/978-3-642-03784-9_1, 10.1007/978-3-642-03367-4_28, 10.1016/j.ipl.2008.07.004, 10.1016/j.ipl.2008.06.006, 10.1007/978-0-387-30162-4_108, 10.1016/j.ipl.2006.09.015, 10.1007/978-3-540-73437-6_10, 10.1007/978-3-540-74456-6_20, 10.1016/j.ipl.2005.10.006, 10.1016/j.ipl.2006.04.008, 10.1109/DCC.2006.29, 10.1007/11780823_24, 10.1016/j.ipl.2005.03.014, 10.1109/DCC.2004.1281516, 10.1007/978-3-540-30140-0_33, 10.1007/978-3-540-24587-2_55
2	5	10.1007/s00453-017-0381-6, 10.1093/comjnl/bxx108, 10.1142/S0129054118400014, 10.1016/j.jda.2018.09.002, 10.4230/LIPIcs.CPM.2018.7, 10.1109/DCC.2018.00031, 10.1109/DCC.2018.00039, 10.4230/LIPIcs.ISAAC.2018.68, 10.1007/978-3-319-77404-6_36, 10.1007/978-3-319-89929-9_7, 10.1137/1.9781611975031.96, 10.4230/LIPIcs.WABI.2018.2, 10.1007/978-3-030-00479-8, 10.1093/bioinformatics/btx067, 10.1007/s10791-017-9297-7, 10.1016/j.jda.2016.11.003, 10.1016/j.jda.2017.04.002, 10.1007/s11786-016-0283-z, 10.1007/s11786-016-0286-9, 10.1016/j.tcs.2017.04.019, 10.1016/j.tcs.2017.06.016, 10.1007/978-3-319-58741-7_17, 10.4230/LIPIcs.CPM.2017.5, 10.4230/LIPIcs.CPM.2017.19, 10.1109/DCC.2017.35, 10.1109/DCC.2017.9, 10.4230/LIPIcs.ESA.2017.38, 10.1007/978-3-319-67428-5_5, 10.1007/978-3-319-67428-5_10, 10.1007/978-3-319-62127-2_33, 10.1007/978-3-662-49529-2_13, 10.1007/978-3-319-46049-9_1, 10.1007/978-3-319-46049-9_5, 10.1007/978-3-319-46049-9_14, 10.1007/978-3-319-46049-9_16, 10.1007/978-3-319-46049-9_24, 10.1007/978-1-4939-2864-4_108, 10.1007/978-1-4939-2864-4_638, 10.1007/s00453-014-9957-6, 10.1016/j.jda.2014.10.003, 10.1109/TCBB.2015.2418753, 10.1109/TIT.2015.2452252, 10.1007/978-3-319-19929-0_3, 10.1109/DCC.2015.69, 10.1109/DCC.2015.57, 10.1109/DCC.2015.55, 10.1109/DCC.2015.70, 10.1007/978-3-319-21500-6_6, 10.1007/978-3-662-48350-3_45, 10.1007/978-3-319-23826-5_15, 10.1007/s00453-012-9726-3, 10.1016/j.comgeo.2013.08.002, 10.1016/j.jda.2014.08.001, 10.1007/978-3-319-07566-2_12, 10.1109/DCC.2014.42, 10.1007/978-3-642-54423-1_63, 10.1007/978-3-319-11918-2_2, 10.1007/978-3-319-11918-2_6, 10.1016/j.ejc.2012.07.016, 10.1016/j.tcs.2012.08.004, 10.1007/978-3-642-36899-8_12, 10.1007/978-3-642-38905-4_11, 10.1007/978-3-642-38905-4_12, 10.1007/978-3-642-40450-4_44, 10.1007/978-3-319-02432-5_10, 10.1007/978-3-642-40104-6_11, 10.1007/s00453-011-9535-0, 10.3390/a5010050, 10.1016/j.ipl.2012.06.017, 10.1016/j.jda.2011.08.001, 10.1016/j.tcs.2011.12.002, 10.1007/978-3-642-28332-1_21, 10.1007/978-3-642-29344-3_28, 10.1007/978-3-642-29344-3_34, 10.1016/j.dam.2010.05.016, 10.1016/j.jda.2011.01.003, 10.1007/978-3-642-21458-5_18, 10.1007/978-3-642-25591-5_67, 10.1007/978-3-642-24583-1_29, 10.1016/j.tcs.2010.04.024, 10.1007/978-3-642-13122-6_13, 10.1007/978-3-642-17514-5_27, 10.1007/978-3-642-17514-5_28, 10.1007/978-3-642-13089-2_23, 10.1007/978-3-642-12200-2_60, 10.1007/978-3-642-11266-9_35, 10.1007/978-3-642-16321-0_7, 10.3233/FI-2009-204, 10.1016/j.tcs.2008.11.003, 10.1007/978-3-642-02441-2_7, 10.1109/DCC.2009.61, 10.1007/978-3-642-10217-2_28, 10.1007/978-3-642-03784-9_1, 10.1007/978-3-642-03367-4_28, 10.1016/j.ipl.2008.07.004, 10.1016/j.ipl.2008.06.006, 10.1007/978-0-387-30162-4_108, 10.1016/j.ipl.2006.09.015, 10.1007/978-3-540-73437-6_10, 10.1007/978-3-540-74456-6_20, 10.1016/j.ipl.2005.10.006, 10.1016/j.ipl.2006.04.008, 10.1109/DCC.2006.29, 10.1007/11780823_24, 10.1016/j.ipl.2005.03.014, 10.1109/DCC.2004.1281516, 10.1007/978-3-540-30140-0_33, 10.1007/978-3-540-24587-2_55
2	1	10.1007/s10579-018-9415-1, 10.5220/0006859405650572, 10.1007/978-3-319-92058-0_76, 10.1007/978-3-319-91947-8_6, 10.1007/s12652-016-0373-4, 10.1007/s11280-016-0419-8, 10.1007/978-3-319-58068-5_8, 10.1145/3019612.3022188, 10.1016/j.ipm.2015.04.004, 10.5220/0006052000680076, 10.1109/ICTAI.2016.0037, 10.1007/s10506-015-9162-1, 10.1109/DSAA.2015.7344888, 10.5220/0005640501380146, 10.5220/0005640701470155, 10.5220/0005640205170524, 10.1186/s12859-014-0353-7, 10.1016/j.dss.2014.10.004, 10.1016/j.ipm.2014.04.005, 10.5220/0005080002280236, 10.1142/S0218001413500134, 10.1007/978-3-319-03524-6_12, 10.1007/978-3-642-37247-6_26, 10.3233/978-1-61499-359-9-25, 10.1007/978-3-642-38824-8_16, 10.1108/00330331211221846, 10.1016/j.specom.2011.06.001, 10.1007/978-3-642-31715-6_14, 10.1007/978-3-642-22056-2_48, 10.1016/j.ipm.2009.08.003, 10.1007/s10852-010-9140-2, 10.1007/978-3-642-29764-9_26, 10.1007/978-3-642-14400-4_19, 10.1007/978-3-642-14049-5_12, 10.1109/WI-IAT.2009.249, 10.1007/978-3-642-03070-3_45, 10.1016/j.ipm.2007.11.003, 10.1145/1458502.1458520, 10.1007/11766254_22
1	4	10.3389/frobt.2017.00071, 10.24963/ijcai.2018/323, 10.24963/ijcai.2018/850, 10.1007/978-3-030-10997-4_16, 10.1145/3240323.3240348, 10.1007/978-3-030-03840-3, 10.1016/j.artint.2017.01.002, 10.1016/j.artint.2015.04.002, 10.1007/978-3-319-67504-6_1, 10.24963/ijcai.2017/100, 10.1093/bioinformatics/btw517, 10.1007/s10618-016-0476-8, 10.1007/s10994-016-5587-3, 10.3233/978-1-61499-672-9-1089, 10.1007/978-3-319-50137-6_6, 10.1186/1471-2105-15-16, 10.1186/1471-2105-15-103, 10.1186/1471-2105-15-309, 10.1109/TKDE.2013.127, 10.1109/TNNLS.2013.2275918, 10.1016/j.artint.2013.08.002, 10.1145/2505515.2505621, 10.1007/978-3-319-02714-2_7, 10.1007/978-3-642-40994-3_51, 10.1109/SocialCom.2013.132, 10.1007/978-3-642-36657-4_9, 10.1109/TCBB.2011.94, 10.1007/978-3-642-45260-4_9, 10.1109/PerComW.2012.6197605, 10.1007/978-3-642-33486-3_63, 10.3233/FI-2011-604, 10.1007/s10994-010-5194-7, 10.1093/nar/gkr365, 10.1007/978-3-642-25566-3_25, 10.1186/1471-2105-11-115, 10.1007/s10994-009-5163-1, 10.1109/TEVC.2010.2058118, 10.1007/978-3-642-14715-9_4, 10.1007/978-3-642-13800-3_35, 10.1007/978-3-642-16001-1_32, 10.1007/s10472-009-9137-6, 10.1093/bioinformatics/btn371, 10.1186/1471-2105-9-20, 10.1007/978-3-540-78757-0_18, 10.1007/978-3-540-85928-4_13, 10.1007/978-3-540-78652-8_3, 10.1007/s10506-007-9038-0, 10.1186/1471-2105-8-39, 10.1093/nar/gkl266, 10.1007/11732990_26, 10.1145/1165485.1165506, 10.1109/TNN.2003.820841, 10.1023/B:VLSI.0000003026.58068.ce, 10.1007/978-3-540-39853-0_12, 10.1109/NNSP.2002.1030014, 10.1007/3-540-45411-X_4
1	5	10.1093/comjnl/bxy001, 10.3390/fi10110103, 10.1109/SEAA.2018.00016, 10.1007/978-3-030-10549-5_30, 10.1145/3194932.3194936, 10.1145/3273934.3273943, 10.1109/IWBOSE.2018.8327567, 10.1109/IWBOSE.2018.8327568, 10.7287/peerj.preprints.26491v1, 10.1142/S0218194017500401, 10.1186/s40411-017-0044-y, 10.1109/WETSoM.2017.11, 10.1109/SEmotion.2017.10, 10.1109/ICSE-C.2017.142, 10.1145/3019612.3019786, 10.1145/3120459, 10.7717/peerj-cs.73, 10.1145/2901739.2903505, 10.1145/2972958.2972959, 10.1007/978-3-319-33515-5_12, 10.7287/peerj.preprints.2285v1, 10.1109/APSEC.2015.51, 10.1109/SEAA.2015.41, 10.1109/ICSE.2015.347, 10.1109/MSR.2015.35, 10.1145/2810146.2810147, 10.1145/2810146.2810148, 10.1109/SITIS.2015.95, 10.1145/2764979.2764989, 10.1007/978-3-319-18612-2_11, 10.7287/peerj.preprints.1515v1, 10.1145/2593868.2593879, 10.1145/2639490.2639506, 10.1145/2568088.2568089, 10.1007/978-3-319-14358-3_11, 10.1007/978-3-319-14358-3_12, 10.1007/978-3-319-06862-6_11, 10.1007/978-3-319-06862-6_20, 10.1007/978-3-319-14358-3, 10.1142/S0218194013500034, 10.1016/j.ins.2013.05.014, 10.1109/WETSoM.2013.6619331, 10.1109/ICSTW.2013.81, 10.1007/978-3-642-38314-4_15, 10.1142/S0218194012500131, 10.5381/jot.2012.11.2.a7, 10.1109/CSMR.2012.17, 10.1109/SEAA.2012.63, 10.1109/WETSoM.2012.6226997, 10.1145/2245276.2231972, 10.1109/WSE.2012.6320529, 10.1016/j.ins.2010.10.022, 10.1109/TSE.2011.54, 10.1145/1985374.1985391, 10.1109/ICSTW.2011.26, 10.1145/1953355.1953382, 10.1109/WCRE.2011.52, 10.1155/2010/729826, 10.1145/1852786.1852794, 10.1145/1809223.1809227, 10.1109/APSEC.2008.35, 10.1142/S0218127406016124, 10.1142/S0218127402005406, 10.1109/ISCAS.2002.1010162, 10.1142/S0218127400000682, 10.1142/S0218127400001675
2	2	10.1093/comjnl/bxy001, 10.3390/fi10110103, 10.1109/SEAA.2018.00016, 10.1007/978-3-030-10549-5_30, 10.1145/3194932.3194936, 10.1145/3273934.3273943, 10.1109/IWBOSE.2018.8327567, 10.1109/IWBOSE.2018.8327568, 10.7287/peerj.preprints.26491v1, 10.1142/S0218194017500401, 10.1186/s40411-017-0044-y, 10.1109/WETSoM.2017.11, 10.1109/SEmotion.2017.10, 10.1109/ICSE-C.2017.142, 10.1145/3019612.3019786, 10.1145/3120459, 10.7717/peerj-cs.73, 10.1145/2901739.2903505, 10.1145/2972958.2972959, 10.1007/978-3-319-33515-5_12, 10.7287/peerj.preprints.2285v1, 10.1109/APSEC.2015.51, 10.1109/SEAA.2015.41, 10.1109/ICSE.2015.347, 10.1109/MSR.2015.35, 10.1145/2810146.2810147, 10.1145/2810146.2810148, 10.1109/SITIS.2015.95, 10.1145/2764979.2764989, 10.1007/978-3-319-18612-2_11, 10.7287/peerj.preprints.1515v1, 10.1145/2593868.2593879, 10.1145/2639490.2639506, 10.1145/2568088.2568089, 10.1007/978-3-319-14358-3_11, 10.1007/978-3-319-14358-3_12, 10.1007/978-3-319-06862-6_11, 10.1007/978-3-319-06862-6_20, 10.1007/978-3-319-14358-3, 10.1142/S0218194013500034, 10.1016/j.ins.2013.05.014, 10.1109/WETSoM.2013.6619331, 10.1109/ICSTW.2013.81, 10.1007/978-3-642-38314-4_15, 10.1142/S0218194012500131, 10.5381/jot.2012.11.2.a7, 10.1109/CSMR.2012.17, 10.1109/SEAA.2012.63, 10.1109/WETSoM.2012.6226997, 10.1145/2245276.2231972, 10.1109/WSE.2012.6320529, 10.1016/j.ins.2010.10.022, 10.1109/TSE.2011.54, 10.1145/1985374.1985391, 10.1109/ICSTW.2011.26, 10.1145/1953355.1953382, 10.1109/WCRE.2011.52, 10.1155/2010/729826, 10.1145/1852786.1852794, 10.1145/1809223.1809227, 10.1109/APSEC.2008.35, 10.1142/S0218127406016124, 10.1142/S0218127402005406, 10.1109/ISCAS.2002.1010162, 10.1142/S0218127400000682, 10.1142/S0218127400001675
2	5	10.1093/comjnl/bxy001, 10.3390/fi10110103, 10.1109/SEAA.2018.00016, 10.1007/978-3-030-10549-5_30, 10.1145/3194932.3194936, 10.1145/3273934.3273943, 10.1109/IWBOSE.2018.8327567, 10.1109/IWBOSE.2018.8327568, 10.7287/peerj.preprints.26491v1, 10.1142/S0218194017500401, 10.1186/s40411-017-0044-y, 10.1109/WETSoM.2017.11, 10.1109/SEmotion.2017.10, 10.1109/ICSE-C.2017.142, 10.1145/3019612.3019786, 10.1145/3120459, 10.7717/peerj-cs.73, 10.1145/2901739.2903505, 10.1145/2972958.2972959, 10.1007/978-3-319-33515-5_12, 10.7287/peerj.preprints.2285v1, 10.1109/APSEC.2015.51, 10.1109/SEAA.2015.41, 10.1109/ICSE.2015.347, 10.1109/MSR.2015.35, 10.1145/2810146.2810147, 10.1145/2810146.2810148, 10.1109/SITIS.2015.95, 10.1145/2764979.2764989, 10.1007/978-3-319-18612-2_11, 10.7287/peerj.preprints.1515v1, 10.1145/2593868.2593879, 10.1145/2639490.2639506, 10.1145/2568088.2568089, 10.1007/978-3-319-14358-3_11, 10.1007/978-3-319-14358-3_12, 10.1007/978-3-319-06862-6_11, 10.1007/978-3-319-06862-6_20, 10.1007/978-3-319-14358-3, 10.1142/S0218194013500034, 10.1016/j.ins.2013.05.014, 10.1109/WETSoM.2013.6619331, 10.1109/ICSTW.2013.81, 10.1007/978-3-642-38314-4_15, 10.1142/S0218194012500131, 10.5381/jot.2012.11.2.a7, 10.1109/CSMR.2012.17, 10.1109/SEAA.2012.63, 10.1109/WETSoM.2012.6226997, 10.1145/2245276.2231972, 10.1109/WSE.2012.6320529, 10.1016/j.ins.2010.10.022, 10.1109/TSE.2011.54, 10.1145/1985374.1985391, 10.1109/ICSTW.2011.26, 10.1145/1953355.1953382, 10.1109/WCRE.2011.52, 10.1155/2010/729826, 10.1145/1852786.1852794, 10.1145/1809223.1809227, 10.1109/APSEC.2008.35, 10.1142/S0218127406016124, 10.1142/S0218127402005406, 10.1109/ISCAS.2002.1010162, 10.1142/S0218127400000682, 10.1142/S0218127400001675
1	1	10.1145/3197517.3201389, 10.1145/3072959.3073635, 10.1145/3072959.3073676, 10.1145/3130800.3130809, 10.1145/3130800.3130825, 10.1145/3130800.3130845, 10.1145/3084873.3084911, 10.1016/j.cag.2016.07.005, 10.1145/2897824.2925956, 10.1145/2897824.2925898, 10.2312/stag.20161366, 10.1111/cgf.12697, 10.1145/2766905, 10.1145/2816795.2818078, 10.1145/2809785, 10.2312/13813, 10.1111/cgf.12330, 10.1145/2601097.2601179, 10.1109/MCG.2012.92, 10.1111/cgf.12014, 10.1080/2151237X.2012.654054, 10.2312/conf/EG2012/posters/035-037, 10.2312/conf/EG2012/stars/159-182, 10.2312/VAST/VAST12/049-056, 10.1145/2070781.2024176, 10.1145/2070781.2024183, 10.1109/TVCG.2011.28, 10.1111/j.1467-8659.2009.01610.x, 10.1109/TVCG.2009.96, 10.1109/TVCG.2010.136, 10.1109/TVCG.2006.115, 10.1016/j.cag.2004.11.012, 10.1111/j.1467-8659.2005.00881.x, 10.1016/j.gmod.2004.11.002, 10.1145/1015706.1015782, 10.1145/1015706.1015810, 10.2312/EGGH/EGGH04/007-014, 10.1109/VISUAL.2003.1250407, 10.2312/egs.20021004, 10.1145/1242073.1242261, 10.1111/1467-8659.00404, 10.1007/s003710050197
