level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
1,2016-12-02,0,0,0,0,1,1
1,2017-12-05,0,0,0,61,2001,24
2,2016-12-02,0,0,0,16,641,13
2,2016-12-02,0,0,0,11,175,9
2,2017-12-05,0,0,0,28,765,12
2,2017-04-03,0,0,0,16,155,10
2,2018-04-06,0,0,0,6,602,8
2,2018-04-06,0,0,0,0,0,0
2,2018-04-06,0,0,0,8,86,6
1,2017-08-04,15,417,12,17,1144,17
1,2017-08-04,8,197,7,33,1939,18
1,2017-08-04,13,157,8,12,300,10
1,2017-08-04,13,96,6,17,404,11
1,2017-08-04,17,96,6,17,182,8
1,2017-08-04,6,44,4,12,154,8
1,2017-08-04,9,30,4,14,241,7
1,2017-08-04,47,2740,21,35,4457,25
1,2017-08-04,39,471,13,44,949,17
1,2017-08-04,14,138,7,12,691,14
1,2017-08-04,16,222,8,17,321,9
1,2017-08-04,8,94,5,13,183,8
1,2017-08-04,12,100,7,10,532,13
1,2017-08-04,9,971,11,20,2907,15
1,2017-08-04,28,815,15,26,1471,20
1,2017-08-04,28,403,9,30,693,13
1,2017-08-04,14,303,9,18,651,15
1,2017-08-04,24,667,15,23,584,13
1,2017-08-04,7,153,7,14,366,11
1,2017-08-04,8,501,8,39,2445,22
1,2017-08-04,17,587,13,14,1035,17
1,2017-08-04,9,54,5,16,176,9
1,2016-12-02,14,211,7,14,484,10
1,2016-12-02,29,135,6,31,521,12
1,2016-12-02,14,168,8,16,348,11
1,2016-12-02,20,314,11,21,541,12
1,2016-12-02,10,333,5,14,629,8
1,2016-12-02,12,34,3,19,238,7
1,2016-12-02,18,688,12,16,1330,17
1,2016-12-02,20,137,6,23,586,14
1,2016-12-02,12,68,5,15,649,9
1,2016-12-02,33,1082,14,37,1820,18
1,2016-12-02,13,138,8,23,461,14
1,2016-12-02,33,366,10,31,650,14
1,2016-12-02,15,229,9,13,1071,15
1,2016-12-02,15,239,8,19,634,12
1,2016-12-02,4,173,8,4,587,14
1,2016-12-02,17,380,10,23,673,14
1,2016-12-02,2,27,2,34,883,16
1,2016-12-02,11,158,7,12,458,11
1,2016-12-02,21,231,9,48,835,16
1,2016-12-02,20,263,8,23,658,13
1,2016-12-02,26,1114,16,28,2303,22
1,2016-12-02,8,145,7,10,263,9
1,2016-12-02,10,119,7,14,312,10
1,2016-12-02,15,82,6,22,340,9
1,2016-12-02,16,97,5,25,390,10
1,2016-12-02,27,800,15,36,2532,24
1,2016-12-02,25,433,13,28,971,18
1,2016-12-02,18,359,9,16,609,14
1,2016-12-02,14,212,8,13,398,12
1,2016-12-02,34,379,10,31,1005,18
1,2016-12-02,12,91,6,16,266,9
1,2016-12-02,18,117,7,19,253,10
1,2016-12-02,15,113,7,19,489,12
1,2016-12-02,20,351,9,44,914,17
1,2016-12-02,17,1838,19,19,2440,20
1,2016-12-02,14,401,10,20,1145,17
1,2016-12-02,19,459,11,22,888,14
1,2016-12-02,14,81,5,18,343,9
1,2016-12-02,20,104,6,22,263,9
1,2016-12-02,29,499,12,24,767,14
1,2016-12-02,14,173,9,16,442,12
1,2016-12-02,34,929,15,52,3282,27
1,2016-12-02,65,1736,22,52,2476,27
1,2016-12-02,8,84,6,12,255,9
1,2016-12-02,12,73,4,12,349,8
1,2016-12-02,18,207,9,42,617,16
1,2016-12-02,78,721,15,65,1044,19
1,2016-12-02,13,122,6,10,219,8
1,2016-12-02,6,213,9,6,211,8
1,2016-12-02,13,131,6,13,458,12
1,2016-12-02,23,399,10,21,755,16
1,2016-12-02,19,184,7,16,423,10
1,2016-12-02,30,459,13,35,977,16
1,2016-12-02,16,246,8,18,865,14
1,2016-12-02,9,301,10,7,553,12
1,2016-12-02,9,110,6,13,196,9
1,2016-12-02,4,48,4,6,350,10
1,2016-12-02,13,161,7,18,316,9
1,2016-12-02,26,107,6,24,290,9
1,2016-12-02,18,486,11,19,720,12
1,2016-12-02,22,131,6,32,564,13
1,2016-12-02,12,126,6,14,385,12
1,2016-12-02,16,471,13,17,709,16
1,2016-12-02,20,115,6,18,359,10
1,2016-12-02,10,246,8,10,480,10
1,2016-12-02,16,223,9,32,815,16
1,2016-12-02,15,89,6,10,291,10
1,2016-12-02,7,239,9,5,237,9
1,2016-12-02,20,283,10,19,617,13
1,2016-12-02,19,302,9,26,719,14
1,2016-12-02,13,225,8,15,926,16
1,2016-12-02,5,139,7,6,315,10
1,2016-12-02,16,235,8,16,835,12
1,2016-12-02,39,296,8,38,630,14
1,2016-12-02,11,146,6,13,498,13
1,2016-12-02,10,125,7,38,492,13
1,2016-12-02,22,338,10,24,493,12
1,2016-12-02,24,159,6,13,785,15
1,2016-12-02,15,378,10,14,762,16
1,2016-12-02,16,233,8,11,848,16
1,2016-12-02,7,78,6,14,389,12
1,2016-12-02,21,107,6,20,315,10
1,2016-12-02,21,426,11,24,610,13
1,2016-12-02,14,204,7,11,582,12
1,2016-12-02,10,90,8,11,325,9
1,2016-12-02,20,481,12,22,793,15
1,2016-12-02,14,236,8,21,585,13
1,2016-12-02,15,174,8,18,709,14
1,2016-12-02,12,69,6,17,439,11
1,2016-12-02,49,2828,25,33,3585,30
1,2016-12-02,27,626,12,22,1175,18
1,2016-12-02,41,762,15,45,898,19
1,2016-12-02,1,241,6,1,703,8
1,2016-12-02,12,159,7,14,518,13
1,2016-12-02,10,77,5,13,268,9
1,2016-12-02,14,295,9,13,475,12
1,2016-12-02,15,410,9,12,1001,17
1,2016-12-02,29,920,19,27,1258,22
1,2016-12-02,19,131,6,17,475,13
1,2016-12-02,16,72,5,12,235,9
1,2016-12-02,17,256,8,14,261,8
1,2016-12-02,8,80,6,8,142,8
1,2016-12-02,2,37,3,12,317,9
1,2016-12-02,15,636,14,39,4290,23
1,2016-12-02,7,195,8,8,555,13
1,2016-12-02,22,427,11,15,929,16
