doi_1,doi_2
10.1109/HICSS.2009.441,10.1109/HICSS.2009.957
10.1109/HOT-P2P.2005.11,10.1109/PTPSYS.2005.11
10.1109/ICIAP.2007.4362779,10.1109/ICIAP.2007.137
10.1109/ICIAP.2007.4362791,10.1109/ICIAP.2007.31
10.1109/ICIAP.2007.4362810,10.1109/ICIAP.2007.64
10.1109/ICIAP.2007.4362834,10.1109/ICIAP.2007.89
10.1109/SAINTW.2005.1620002,10.1109/SAINTW.2005.47
10.1109/ICIAP.2007.4362873,10.1109/ICIAP.2007.83
10.1109/ICIAP.2007.4362809,10.1109/ICIAP.2007.57
10.1109/ICIAP.2007.4362820,10.1109/ICIAP.2007.113
10.4108/ICST.BIONETICS2007.2460,10.1109/BIMNICS.2007.4610097
10.1109/QEST.2004.1348049,10.1109/QEST.2004.10017
10.1109/ICIAP.2007.4362800,10.1109/ICIAP.2007.19
10.1109/ICIAP.2007.4362817,10.1109/ICIAP.2007.63
10.1109/HOT-P2P.2005.1,10.1109/PTPSYS.2005.1
10.1109/ICALT.2006.1652421,10.1109/ICALT.2006.83
10.1109/ICIAP.2007.4362789,10.1109/ICIAP.2007.114
10.1109/ICALT.2006.1652380,10.1109/ICALT.2006.38
10.1109/ICIAP.2007.4362757,10.1109/ICIAP.2007.88
10.1109/HOT-P2P.2005.16,10.1109/PTPSYS.2005.16
10.1109/QEST.2004.1348053,10.1109/QEST.2004.10001
10.1145/2897667.2897673,10.1109/FormaliSE.2016.012
10.1109/QEST.2004.1348049,10.1109/QEST.2004.10017
10.1109/ICIAP.2007.4362752,10.1109/ICIAP.2007.81
10.1109/ICIAP.2007.4362870,10.1109/ICIAP.2007.87
10.1109/ICALT.2006.1652605,10.1109/ICALT.2006.313
10.1109/SMI.2002.1003552,10.1109/SMI.2002.10014
10.1145/1236360.1236397,10.1109/IPSN.2007.4379687
10.1145/1062455.1062507,10.1109/ICSE.2005.1553566
10.1590/S0104-65002005000100006,10.1007/BF03192366
10.1145/1062455.1062560,10.1109/ICSE.2005.1553606
10.1109/QEST.2004.1348036,10.1109/QEST.2004.10033
10.1109/ICIAP.2007.4362863,10.1109/ICIAP.2007.34
10.1109/ICIAP.2007.4362765,10.1109/ICIAP.2007.79
10.1109/ICIAP.2007.4362870,10.1109/ICIAP.2007.87
10.1109/WSTFES.2004.1300407,10.1109/WSTFEUS.2004.10007
10.1109/ICIAP.2007.4362832,10.1109/ICIAP.2007.61
10.1109/ICALT.2006.1652434,10.1109/ICALT.2006.101
10.1109/ICIAP.2007.4362849,10.1109/ICIAP.2007.66
10.1109/ICIAP.2007.4362804,10.1109/ICIAP.2007.106
10.1109/ICIAP.2007.4362832,10.1109/ICIAP.2007.61
10.1109/ICIAP.2007.4362817,10.1109/ICIAP.2007.63
10.1109/SAINTW.2005.1620001,10.1109/SAINTW.2005.60
10.1145/1233501.1233573,10.1109/ICCAD.2006.320058
10.1109/DATE.2008.4484710,10.1145/1403375.1403467
10.1109/DATE.2008.4484806,10.1145/1403375.1403610
10.1109/DATE.2008.4484807,10.1145/1403375.1403611
10.1109/DATE.2000.840012,10.1145/343647.343694
10.1109/DATE.1999.761113,10.1145/307418.307481
10.1145/288548.288619,10.1109/ICCAD.1998.742878
10.1109/ICIAP.2007.4362817,10.1109/ICIAP.2007.63
10.1109/SAINTW.2005.1620001,10.1109/SAINTW.2005.60
10.1109/ICIAP.2007.4362770,10.1109/ICIAP.2007.6
10.1109/ICIAP.2007.4362812,10.1109/ICIAP.2007.18
10.1109/ICIAP.2007.4362822,10.1109/ICIAP.2007.26
10.1109/SAINTW.2005.1620002,10.1109/SAINTW.2005.47
10.1109/ICIAP.2007.4362779,10.1109/ICIAP.2007.137
10.1109/ICIAP.2007.4362791,10.1109/ICIAP.2007.31
10.1109/HOT-P2P.2005.2,10.1109/PTPSYS.2005.2
10.1109/ICIAP.2007.4362817,10.1109/ICIAP.2007.63
10.1109/DATE.2000.840300,10.1145/343647.343802
10.1109/DATE.1999.761215,10.1145/307418.307431
10.1109/ICIAP.2007.4362878,10.1109/ICIAP.2007.116
10.1109/ICIAP.2007.4362838,10.1109/ICIAP.2007.136
