doi,type,date
10.1007/978-3-540-69170-9_35,proceedings-article,2008
10.1145/2047403.2047409,proceedings-article,2011
10.1007/3-540-48753-0_36,proceedings-article,1999
10.1109/tnn.2007.910737,journal-article,2008-02
10.1016/j.procs.2014.05.004,proceedings-article,2014
10.1109/icsmc.2010.5642242,proceedings-article,2010-10
10.1016/j.simpat.2010.06.013,journal-article,2011-01
10.1007/978-3-319-05209-0_3,book-chapter,2014
10.1109/saner.2017.7884620,proceedings-article,2017-02
10.1007/978-3-540-31982-5_19,proceedings-article,2005
10.1007/978-3-319-14325-5_34,proceedings-article,2014
10.1109/infcom.2012.6195626,proceedings-article,2012-03
10.1007/978-3-642-38989-4_21,proceedings-article,2013
10.1145/2025113.2025198,proceedings-article,2011
10.1142/s021800140800665x,journal-article,2008-08
10.1007/978-3-319-26005-1_25,proceedings-article,2015
10.1109/tsp.2007.908937,journal-article,2008-04
10.1109/wiopt.2005.51,proceedings-article,2005
10.1109/ficloud.2015.25,proceedings-article,2015-08
10.1109/tcad.2009.2032372,journal-article,2009-12
10.1007/s11192-013-1002-z,journal-article,2013-04-07
10.1145/2399016.2399131,proceedings-article,2012
10.1007/978-3-319-20678-3_36,proceedings-article,2015
10.1007/978-3-642-24088-1_15,proceedings-article,2011
10.1177/1473871617698516,journal-article,2017-03-28
10.4230/lipics.wabi.2018.3,proceedings-article,2018
10.1007/978-3-642-28509-7_9,proceedings-article,2012
10.1109/iros.2013.6696603,proceedings-article,2013-11
10.1007/978-0-387-71817-0_9,book-chapter,2009
10.1145/2980765.2980769,journal-article,2016-08-01
10.1016/j.tcs.2016.04.010,journal-article,2016-05
10.1109/dasip.2016.7853835,proceedings-article,2016-10
10.3414/me14-01-0002,journal-article,2014
10.1007/978-3-319-50901-3_56,proceedings-article,2016-11-30
10.1109/cbms.2011.5999044,proceedings-article,2011-06
10.1145/359496.359508,journal-article,2000-10-01
10.1007/978-3-642-23719-5_64,proceedings-article,2011
10.1007/978-3-642-20895-9_22,proceedings-article,2011
10.1016/s0304-3975(03)00223-8,journal-article,2003
10.1109/icip.2009.5414293,proceedings-article,2009-11
10.1007/978-3-319-40159-1_18,proceedings-article,2016
10.1016/j.eswa.2010.09.005,journal-article,2011-04
10.1007/978-3-319-94460-9_17,proceedings-article,2018
10.1109/wimob.2017.8115809,proceedings-article,2017-10
10.1007/978-3-662-45550-0_16,proceedings-article,2014
10.1109/socpar.2010.5686621,proceedings-article,2010-12
10.1109/rcis.2018.8406683,proceedings-article,2018-05
10.1007/978-3-319-00491-4,book,2014
10.1109/smartcomp.2016.7501719,proceedings-article,2016-05
10.5220/0004484703610368,proceedings-article,2013
10.1016/j.tcs.2014.11.019,journal-article,2015-01
10.1109/norchp.2012.6403124,proceedings-article,2012-11
10.1145/2794080,journal-article,2015-10-13
10.1007/978-1-4615-2289-8,book,1995
10.1007/3-540-45465-9_5,proceedings-article,2002
10.1109/wcre.2009.38,proceedings-article,2009
10.1007/978-3-319-61949-1_22,proceedings-article,2017
10.1016/j.cag.2016.08.002,journal-article,2016-11
10.1007/978-3-642-28033-7_5,proceedings-article,2012
10.1016/j.simpat.2004.06.009,journal-article,2007-05
10.1007/978-3-319-39243-1,book,2016
10.1007/978-3-540-74260-9_70,proceedings-article,2007
10.1109/ngmast.2014.42,proceedings-article,2014-09
10.1186/1752-0509-4-76,journal-article,2010-06-03
10.1103/physreve.69.062104,journal-article,2004-06-17
10.1007/978-3-642-18098-9_27,proceedings-article,2011
10.1145/3015135.3015140,proceedings-article,2016
10.1109/wse.2008.4655402,proceedings-article,2008-10
10.1007/978-3-540-71080-6_20,book-chapter,2008
10.1109/percomw.2014.6815202,proceedings-article,2014-03
10.1145/974044.974082,proceedings-article,2004
10.1109/infcomw.2018.8406884,proceedings-article,2018-04
10.1186/1471-2105-14-s7-s8,journal-article,2013-04
10.1016/j.tcs.2008.02.050,journal-article,2008-06
10.1016/j.diin.2014.04.003,journal-article,2014-09
10.1109/icpc.2010.16,proceedings-article,2010-06
10.1145/2245276.2245296,proceedings-article,2012
10.1007/978-3-642-54798-0_3,proceedings-article,2013
10.1145/1066677.1067060,proceedings-article,2005
10.1007/978-3-642-35488-5,book,2013
10.1145/2491627.2499880,proceedings-article,2013
10.3233/ia-2011-0003,journal-article,2011
10.1007/978-3-540-70540-6_160,proceedings-article,2008
10.1613/jair.3360,journal-article,2011
10.1145/3106426.3106465,proceedings-article,2017
10.1109/tpami.2008.243,journal-article,2009-04
10.1109/wi-iat.2009.264,proceedings-article,2009
10.1109/hpcs.2018.00084,proceedings-article,2018-07
10.1016/j.expthermflusci.2015.08.014,journal-article,2016-01
10.1007/978-3-642-11467-0_18,proceedings-article,2010
10.1007/bfb0057431,proceedings-article,1998
10.1145/2159576.2159599,proceedings-article,2012
10.4018/978-1-4666-4691-9.ch018,book-chapter,not-defined
10.1007/11785231_80,proceedings-article,2006
10.5220/0005080002280236,proceedings-article,2014
10.4108/icst.trans.eeel.2011.e3,journal-article,2011-09-27
10.1109/icstw.2018.00044,proceedings-article,2018-04
10.1109/ithet.2018.8424780,proceedings-article,2018-04
10.1145/3148011.3148013,proceedings-article,2017
10.1145/1383559.1383580,proceedings-article,2008
10.1212/nxg.0000000000000005,journal-article,2015-05-14
10.1016/j.patrec.2017.08.030,journal-article,2017-09
10.1007/s10209-006-0022-3,journal-article,2006-05-12
10.1109/tsc.2013.26,journal-article,2014-04
10.1007/978-3-319-19369-4_48,proceedings-article,2015
10.1145/2808435.2814578,proceedings-article,2015
10.1016/j.jcss.2003.06.001,journal-article,2004-02
10.1109/ems.2015.84,proceedings-article,2015-10
10.1007/978-3-319-48680-2,proceedings,2016
10.1145/2806416.2806877,proceedings-article,2015
10.1145/1066677.1067047,proceedings-article,2005
10.1007/978-3-540-39867-7_71,proceedings-article,2003
10.1016/s0378-4371(02)01089-0,journal-article,2002-11
10.1109/efta.2007.4416860,proceedings-article,2007
10.1007/978-3-319-47898-2_13,proceedings-article,2016-10-08
10.1109/iscas.2006.1693689,proceedings-article,2006
10.1145/2147805.2147871,proceedings-article,2011
10.5220/0005758702340240,proceedings-article,2016
10.3233/978-1-61499-900-3-271,proceedings-article,2018
10.1109/cts.2013.6567269,proceedings-article,2013-05
10.1109/embc.2015.7318401,proceedings-article,2015-08
10.1145/3038923,journal-article,2017-03-06
10.1007/11915072_89,proceedings-article,2006
10.1109/tsp.2003.816888,journal-article,2003-10
10.1007/3-540-40891-6_3,proceedings-article,2000
10.1145/1595808.1595823,proceedings-article,2009
10.1007/978-3-642-22321-1_20,proceedings-article,2011
10.1007/978-3-319-63184-4_23,proceedings-article,2017
10.1016/j.datak.2005.09.004,journal-article,2006-11
10.1109/tpami.2010.52,journal-article,2010-12
10.1142/s0218539311004226,journal-article,2011-12
10.1016/j.bica.2012.07.006,journal-article,2012-10
10.3233/978-1-61499-660-6-139,proceedings-article,2016
10.1109/coginfocom.2012.6422000,proceedings-article,2012-12
10.1007/978-3-540-78743-3_17,proceedings-article,2008
10.1007/978-3-642-27180-9,proceedings,2011
10.1016/j.infsof.2014.05.018,journal-article,2015-01
10.1109/rams.2006.1677414,proceedings-article,not-defined
10.1007/978-3-319-51963-0_39,proceedings-article,2017
10.1145/1540438.1540451,proceedings-article,2009
10.1007/978-3-319-99843-5_24,proceedings-article,2018
10.1007/978-3-642-31178-9_24,proceedings-article,2012
10.1007/978-3-642-35311-6_45,proceedings-article,2012
10.1109/mdat.2017.2766558,journal-article,2018-04
10.1109/71.995820,journal-article,2002-04
10.1016/j.patcog.2005.11.025,journal-article,2006-09
10.1016/s0169-023x(02)00210-0,journal-article,2003-08
10.1109/eesms.2016.7504811,proceedings-article,2016-06
10.1109/cec.2018.8477873,proceedings-article,2018-07
10.1109/jsac.2010.100612,journal-article,2010-06
10.1007/978-3-642-04592-9_8,proceedings-article,2009
10.1371/journal.pone.0057707,journal-article,2013-03-06
10.1109/semapro.2009.12,proceedings-article,2009-10
10.1109/inm.2005.1440799,proceedings-article,2005
10.15439/2016f302,proceedings-article,2016-10-02
10.1007/978-3-319-02756-2_33,proceedings-article,2013
10.1007/s10208-004-0134-1,journal-article,2004-12-03
10.1109/mitp.2012.26,journal-article,2012-05
10.1109/tcbb.2010.38,journal-article,2011-05
10.1109/icecs.2008.4674943,proceedings-article,2008-08
10.1007/978-3-319-14998-1_3,book-chapter,2015
10.1016/j.ipm.2006.12.001,journal-article,2007-05
10.1109/icpr.2010.851,proceedings-article,2010-08
10.1109/cvprw.2009.5204265,proceedings-article,2009-06
10.1016/j.disc.2007.12.090,journal-article,2009-04
10.1007/978-3-319-09584-4_27,proceedings-article,2014
10.1016/s1571-0661(04)00237-3,journal-article,2001-08
10.1007/978-3-319-19545-2_18,proceedings-article,2015
10.1145/2908961.2931675,proceedings-article,2016
10.1109/iccv.2017.156,proceedings-article,2017-10
10.1109/nca.2007.28,proceedings-article,2007-07
10.1007/978-3-642-40564-8_26,proceedings-article,2013
10.1049/ip-smt:20040668,journal-article,2004-09-01
10.1287/ijoc.1040.0093,journal-article,2004-11
10.1145/2957265.2965002,proceedings-article,2016
10.1109/cisis.2010.129,proceedings-article,2010-02
10.1109/isc2.2016.7580768,proceedings-article,2016-09
10.1109/icalt.2003.1215076,proceedings-article,2003
10.1007/978-3-642-00768-2_5,proceedings-article,2009
10.1109/iembs.2011.6090507,proceedings-article,2011-08
10.1007/978-3-642-21461-5_2,proceedings-article,2011
10.1007/978-3-642-22760-8_1,proceedings-article,2011
10.1016/j.endm.2018.07.032,journal-article,2018-08
10.1007/978-3-642-05082-4_12,proceedings-article,2009
10.5220/0004747402220229,proceedings-article,2014
10.1002/asi.23918,journal-article,2017-09-15
10.1007/978-3-319-10879-7_33,proceedings-article,2014
10.1007/978-3-319-67636-4_1,proceedings-article,2017-10-27
10.1007/s12559-013-9211-6,journal-article,2013-03-09
10.3389/fgene.2014.00115,journal-article,2014-05-07
10.3390/a6040782,journal-article,2013-11-18
10.5220/0005612900840095,proceedings-article,2015
10.4018/978-1-60566-370-8.ch002,book-chapter,not-defined
10.1109/tnsm.2007.070904,journal-article,2007-09
10.1109/icb.2012.6199773,proceedings-article,2012-03
10.1109/seaa.2008.30,proceedings-article,2008-09
10.1109/infcomw.2013.6562849,proceedings-article,2013-04
10.1109/date.1999.761163,proceedings-article,1999
10.1007/s00285-013-0738-7,journal-article,2013-11-20
10.1007/11527923_48,proceedings-article,2005
10.1109/gpc.2009.9,proceedings-article,2009-05
10.1007/978-3-319-04244-2_5,proceedings-article,2013
10.1109/mits.2012.2225651,journal-article,2013
10.1109/iembs.2007.4353594,proceedings-article,2007-08
10.1145/1278387.1278389,journal-article,2007-11-01
10.1007/978-3-319-59480-4_1,proceedings-article,2017-05-28
10.1002/smr.280,journal-article,2004-01
10.1023/a:1007361708126,journal-article,1997
10.1007/s11276-015-0948-6,journal-article,2015-04-23
10.1016/j.jbi.2013.01.006,journal-article,2013-06
10.1109/ipdps.2003.1213411,proceedings-article,2003
10.1201/9781315372112-9,book-chapter,2016-09-23
10.1016/j.comcom.2014.03.028,journal-article,2014-07
10.1145/3067695.3082554,proceedings-article,2017
10.1109/infcom.2007.253,proceedings-article,2007
10.1007/s10288-011-0162-z,journal-article,2011-03-13
10.1109/memea.2011.5966770,proceedings-article,2011-05
10.1016/j.jlap.2006.05.002,journal-article,2007-01
10.1007/978-3-030-00461-3_28,proceedings-article,2018
10.1007/978-3-319-11918-2_2,proceedings-article,2014
10.1007/978-3-642-10619-4_41,book-chapter,2009
10.1007/978-3-662-43813-8_14,proceedings-article,2014
10.1109/sbac-pad.2007.19,proceedings-article,2007-10
10.1007/978-1-4419-1674-7_11,book-chapter,2010
10.1007/s00259-008-1023-7,journal-article,2008-12-11
10.1145/2695664.2696060,proceedings-article,2015
10.1145/511334.511338,proceedings-article,2002
10.1007/s11548-008-0162-4,journal-article,2008-05-27
10.1145/2462932.2462973,proceedings-article,2012
10.1007/s11063-017-9742-z,journal-article,2017-11-07
10.1109/iccep.2011.6036300,proceedings-article,2011-06
10.1109/iccas.2015.7364676,proceedings-article,2015-10
10.1016/j.robot.2018.02.001,journal-article,2018-05
10.1007/978-3-540-68262-2_2,proceedings-article,2008
10.1007/978-3-319-70887-4_1,proceedings-article,2017
10.1049/ic.2009.0262,proceedings-article,2009
10.1109/iscc.2012.6249349,proceedings-article,2012-07
10.1016/j.ins.2016.11.001,journal-article,2017-02
10.1007/978-3-642-40537-2_8,proceedings-article,2013
